,Company  (Maker-if known),ReviewDate,CocoaPercent,Location,Rating,Bean_Type,BroadOrigin,Cluster,ClusterColor
0,A. Morin,2016,63.0,France,3.75,Unknown,Sao Tome,0,pink
1,A. Morin,2015,70.0,France,2.75,Unknown,Togo,1,purple
2,A. Morin,2015,70.0,France,3.0,Unknown,Togo,1,purple
3,A. Morin,2015,70.0,France,3.5,Unknown,Togo,0,pink
4,A. Morin,2015,70.0,France,3.5,Unknown,Peru,0,pink
5,A. Morin,2014,70.0,France,2.75,Criollo,Venezuela,1,purple
6,A. Morin,2014,70.0,France,3.5,Unknown,Cuba,0,pink
7,A. Morin,2014,70.0,France,3.5,Criollo,Venezuela,0,pink
8,A. Morin,2014,70.0,France,3.75,Criollo,Venezuela,0,pink
9,A. Morin,2014,70.0,France,4.0,Unknown,Peru,0,pink
10,A. Morin,2013,70.0,France,2.75,Unknown,Panama,1,purple
11,A. Morin,2013,70.0,France,3.0,Criollo,Madagascar,1,purple
12,A. Morin,2013,70.0,France,3.25,Unknown,Brazil,0,pink
13,A. Morin,2013,70.0,France,3.75,Unknown,Ecuador,0,pink
14,A. Morin,2013,70.0,France,2.75,Unknown,Colombia,1,purple
15,A. Morin,2013,70.0,France,3.0,Unknown,Burma,1,purple
16,A. Morin,2013,70.0,France,3.25,Unknown,Papua New Guinea,0,pink
17,A. Morin,2013,70.0,France,4.0,Trinitario,Venezuela,0,pink
18,A. Morin,2013,70.0,France,3.25,Unknown,Peru,0,pink
19,A. Morin,2013,70.0,France,3.5,Unknown,Peru,0,pink
20,A. Morin,2013,63.0,France,4.0,Unknown,Peru,0,pink
21,A. Morin,2012,70.0,France,3.5,Unknown,Bolivia,0,pink
22,A. Morin,2012,63.0,France,3.75,Unknown,Peru,0,pink
23,Acalli,2015,70.0,U.S.A.,3.75,Unknown,Peru,0,pink
24,Acalli,2015,70.0,U.S.A.,3.75,Criollo,Peru,0,pink
25,Adi,2011,60.0,Fiji,2.75,Trinitario,Fiji,1,purple
26,Adi,2011,80.0,Fiji,3.25,Trinitario,Fiji,2,dark purple
27,Adi,2011,88.0,Fiji,3.5,Trinitario,Fiji,2,dark purple
28,Adi,2011,72.0,Fiji,3.5,Trinitario,Fiji,0,pink
29,Aequare (Gianduja),2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,1,purple
30,Aequare (Gianduja),2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador,1,purple
31,Ah Cacao,2009,70.0,Mexico,3.0,Criollo,Mexico,1,purple
32,Akesson's (Pralus),2011,75.0,Switzerland,3.75,Trinitario,Indonesia,0,pink
33,Akesson's (Pralus),2010,75.0,Switzerland,2.75,Criollo,Madagascar,1,purple
34,Akesson's (Pralus),2010,75.0,Switzerland,2.75,Forastero,Brazil,1,purple
35,Alain Ducasse,2014,65.0,France,2.75,Trinitario,Trinidad,1,purple
36,Alain Ducasse,2014,75.0,France,2.75,Trinitario,Vietnam,1,purple
37,Alain Ducasse,2014,75.0,France,3.0,Trinitario,Madagascar,1,purple
38,Alain Ducasse,2013,75.0,France,2.5,Trinitario,Venezuela,1,purple
39,Alain Ducasse,2013,75.0,France,2.5,Unknown,Peru,1,purple
40,Alexandre,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador,0,pink
41,Alexandre,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,0,pink
42,Alexandre,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,0,pink
43,Alexandre,2017,70.0,Netherlands,3.5,Forastero,Tanzania,0,pink
44,Altus aka Cao Artisan,2016,60.0,U.S.A.,2.75,Unknown,Nicaragua,1,purple
45,Altus aka Cao Artisan,2016,60.0,U.S.A.,3.0,Unknown,Peru,1,purple
46,Altus aka Cao Artisan,2016,60.0,U.S.A.,2.5,Unknown,Bolivia,1,purple
47,Altus aka Cao Artisan,2016,60.0,U.S.A.,2.5,Unknown,Peru,1,purple
48,Altus aka Cao Artisan,2016,60.0,U.S.A.,2.75,Unknown,Ecuador,1,purple
49,Altus aka Cao Artisan,2013,60.0,U.S.A.,2.5,Unknown,Venezuela,1,purple
50,Altus aka Cao Artisan,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic,1,purple
51,Altus aka Cao Artisan,2013,80.0,U.S.A.,3.25,Unknown,Bolivia,2,dark purple
52,Altus aka Cao Artisan,2013,60.0,U.S.A.,3.0,Unknown,Bolivia,1,purple
